Entity,Frequency,Entity Type,Year,Month,Day,Latitude,Longitude,Country,City,News Source
Moscow,19,GPE,2022,3,7,55.7504461,37.6174943,Russia,Moscow,aljazeera
Mariupol,13,GPE,2022,3,7,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
Poland,7,GPE,2022,3,7,52.215933,19.134422,Poland,,aljazeera
United Kingdom,7,GPE,2022,3,7,54.7023545,-3.2765753,United Kingdom,,aljazeera
Germany,6,GPE,2022,3,7,51.0834196,10.4234469,Germany,,aljazeera
Kyiv,6,GPE,2022,3,7,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Ukraine,6,GPE,2022,3,7,49.4871968,31.2718321,Ukraine,,aljazeera
Belarus,5,GPE,2022,3,7,53.4250605,27.6971358,Belarus,,aljazeera
Zaporizhzhia,4,GPE,2022,3,7,47.8507859,35.1182867,Ukraine,Zaporizhzhia,aljazeera
China,4,GPE,2022,3,7,35.000074,104.999927,China,,aljazeera
Japan,4,GPE,2022,3,7,36.5748441,139.2394179,Japan,Kiryu,aljazeera
United States,3,GPE,2022,3,7,39.7837304,-100.445882,United States,,aljazeera
Vatican,3,GPE,2022,3,7,41.903411,12.4528527,Vatican City,,aljazeera
Russia,2,GPE,2022,3,7,52.5161051,13.3834149,Germany,Berlin,aljazeera
Chernobyl,2,GPE,2022,3,7,51.2705477,30.2195609,Ukraine,Chernobyl,aljazeera
Europe,12,LOC,2022,3,7,,,,,aljazeera
Kyiv,11,LOC,2022,3,7,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Sumy,1,LOC,2022,3,7,50.90007875,34.80904073,Ukraine,Sumy,aljazeera
Ukraine,146,GPE,2022,3,8,49.4871968,31.2718321,Ukraine,,aljazeera
Russia,123,GPE,2022,3,8,64.6863136,97.7453061,Russia,,aljazeera
United States,42,GPE,2022,3,8,39.7837304,-100.445882,United States,,aljazeera
Moscow,28,GPE,2022,3,8,55.7504461,37.6174943,Russia,Moscow,aljazeera
Mariupol,23,GPE,2022,3,8,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
United Kingdom,16,GPE,2022,3,8,54.7023545,-3.2765753,United Kingdom,,aljazeera
Poland,12,GPE,2022,3,8,52.215933,19.134422,Poland,,aljazeera
Chernobyl,10,GPE,2022,3,8,51.2705477,30.2195609,Ukraine,Chernobyl,aljazeera
Belarus,9,GPE,2022,3,8,53.4250605,27.6971358,Belarus,,aljazeera
Turkey,8,GPE,2022,3,8,38.9597594,34.9249653,Turkey,,aljazeera
China,7,GPE,2022,3,8,35.000074,104.999927,China,,aljazeera
Germany,6,GPE,2022,3,8,51.0834196,10.4234469,Germany,,aljazeera
Zaporizhzhia,5,GPE,2022,3,8,47.8507859,35.1182867,Ukraine,Zaporizhzhia,aljazeera
Kyiv,5,GPE,2022,3,8,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
United States,4,GPE,2022,3,8,39.7837304,-100.445882,United States,,aljazeera
Canada,4,GPE,2022,3,8,61.0666922,-107.991707,Canada,,aljazeera
Washington,4,GPE,2022,3,8,38.8950368,-77.0365427,United States,Washington,aljazeera
Scotland,4,GPE,2022,3,8,56.7861112,-4.1140518,United Kingdom,,aljazeera
Antalya,3,GPE,2022,3,8,36.9009641,30.6954846,Turkey,Antalya,aljazeera
Kyiv,20,LOC,2022,3,8,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Europe,10,LOC,2022,3,8,,,,,aljazeera
Mariupol,1,LOC,2022,3,8,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
Kharkiv,1,LOC,2022,3,8,49.9923181,36.2310146,Ukraine,Kharkiv,aljazeera
Black Sea,1,LOC,2022,3,8,43.87280435,33.99381559,,,aljazeera
Ukraine,122,GPE,2022,3,9,49.4871968,31.2718321,Ukraine,,aljazeera
Russia,97,GPE,2022,3,9,64.6863136,97.7453061,Russia,,aljazeera
United States,26,GPE,2022,3,9,39.7837304,-100.445882,United States,,aljazeera
Mariupol,23,GPE,2022,3,9,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
Moscow,19,GPE,2022,3,9,55.7504461,37.6174943,Russia,Moscow,aljazeera
Turkey,12,GPE,2022,3,9,38.9597594,34.9249653,Turkey,,aljazeera
Chernobyl,11,GPE,2022,3,9,51.2705477,30.2195609,Ukraine,Chernobyl,aljazeera
United Kingdom,7,GPE,2022,3,9,54.7023545,-3.2765753,United Kingdom,,aljazeera
China,6,GPE,2022,3,9,35.000074,104.999927,China,,aljazeera
Romania,4,GPE,2022,3,9,45.9852129,24.6859225,Romania,,aljazeera
Kyiv,4,GPE,2022,3,9,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Washington,3,GPE,2022,3,9,38.8950368,-77.0365427,United States,Washington,aljazeera
France,3,GPE,2022,3,9,46.603354,1.8883335,France,,aljazeera
Poland,3,GPE,2022,3,9,52.215933,19.134422,Poland,,aljazeera
Ukraine,3,GPE,2022,3,9,49.4871968,31.2718321,Ukraine,,aljazeera
Beijing,3,GPE,2022,3,9,39.906217,116.3912757,China,Beijing,aljazeera
Warsaw,3,GPE,2022,3,9,52.2319581,21.0067249,Poland,Warsaw,aljazeera
Kyiv,10,LOC,2022,3,9,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Europe,3,LOC,2022,3,9,,,,,aljazeera
Mariupol,3,LOC,2022,3,9,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
Middle East,2,LOC,2022,3,9,,,,,aljazeera
Africa,2,LOC,2022,3,9,,,,,aljazeera
Sumy,1,LOC,2022,3,9,50.90007875,34.80904073,Ukraine,Sumy,aljazeera
Ukraine,161,GPE,2022,3,10,49.4871968,31.2718321,Ukraine,,aljazeera
Russia,96,GPE,2022,3,10,64.6863136,97.7453061,Russia,,aljazeera
United States,30,GPE,2022,3,10,39.7837304,-100.445882,United States,,aljazeera
Moscow,28,GPE,2022,3,10,55.7504461,37.6174943,Russia,Moscow,aljazeera
United Kingdom,16,GPE,2022,3,10,54.7023545,-3.2765753,United Kingdom,,aljazeera
Mariupol,15,GPE,2022,3,10,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
Kyiv,9,GPE,2022,3,10,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Turkey,8,GPE,2022,3,10,38.9597594,34.9249653,Turkey,,aljazeera
Volnovakha,6,GPE,2022,3,10,47.5984285,37.4998511,Ukraine,,aljazeera
Lutsk,6,GPE,2022,3,10,50.7450733,25.320078,Ukraine,Lutsk,aljazeera
Washington,5,GPE,2022,3,10,38.8950368,-77.0365427,United States,Washington,aljazeera
Belarus,5,GPE,2022,3,10,53.4250605,27.6971358,Belarus,,aljazeera
United States,4,GPE,2022,3,10,39.7837304,-100.445882,United States,,aljazeera
China,4,GPE,2022,3,10,35.000074,104.999927,China,,aljazeera
Chernobyl,4,GPE,2022,3,10,51.2705477,30.2195609,Ukraine,Chernobyl,aljazeera
Ukraine,4,GPE,2022,3,10,49.4871968,31.2718321,Ukraine,,aljazeera
Romania,4,GPE,2022,3,10,45.9852129,24.6859225,Romania,,aljazeera
Germany,3,GPE,2022,3,10,51.0834196,10.4234469,Germany,,aljazeera
Kyiv,11,LOC,2022,3,10,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Europe,5,LOC,2022,3,10,,,,,aljazeera
Novokodatsky District,1,LOC,2022,3,10,48.4889608,34.9391349,Ukraine,Dnipro,aljazeera
Black Sea,1,LOC,2022,3,10,43.87280435,33.99381559,,,aljazeera
Eastern Kharkiv,1,LOC,2022,3,10,49.9923181,36.2310146,Ukraine,Kharkiv,aljazeera
Eastern Europe,1,LOC,2022,3,10,,,,,aljazeera
Azov Sea,1,LOC,2022,3,10,46.196729,36.73570655,,,aljazeera
Ukraine,93,GPE,2022,3,11,49.4871968,31.2718321,Ukraine,,aljazeera
Russia,67,GPE,2022,3,11,64.6863136,97.7453061,Russia,,aljazeera
United States,22,GPE,2022,3,11,39.7837304,-100.445882,United States,,aljazeera
Mariupol,17,GPE,2022,3,11,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
Moscow,14,GPE,2022,3,11,55.7504461,37.6174943,Russia,Moscow,aljazeera
Israel,6,GPE,2022,3,11,31.5313113,34.8667654,Israel,Lachish Regional Council,aljazeera
Kyiv,5,GPE,2022,3,11,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Germany,5,GPE,2022,3,11,51.0834196,10.4234469,Germany,Unstrut-Hainich,aljazeera
Belarus,5,GPE,2022,3,11,53.4250605,27.6971358,Belarus,,aljazeera
Romania,4,GPE,2022,3,11,45.9852129,24.6859225,Romania,,aljazeera
Italy,4,GPE,2022,3,11,42.6384261,12.674297,Italy,Terni,aljazeera
Washington,4,GPE,2022,3,11,38.8950368,-77.0365427,United States,Washington,aljazeera
France,3,GPE,2022,3,11,46.603354,1.8883335,France,,aljazeera
Donetsk,3,GPE,2022,3,11,48.0158753,37.8013407,Ukraine,Donetsk,aljazeera
Melitopol,3,GPE,2022,3,11,46.8400009,35.35786473,Ukraine,Melitopol,aljazeera
Guatemala,3,GPE,2022,3,11,15.6871007,-90.12265453,Guatemala,,aljazeera
Qatar,2,GPE,2022,3,11,25.3336984,51.2295295,Qatar,,aljazeera
Paris,2,GPE,2022,3,11,48.8588897,2.320041022,France,,aljazeera
Florence,2,GPE,2022,3,11,43.7698712,11.2555757,Italy,Florence,aljazeera
Kyiv,17,LOC,2022,3,11,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Europe,2,LOC,2022,3,11,,,,,aljazeera
Middle East,2,LOC,2022,3,11,,,,,aljazeera
Black Sea,1,LOC,2022,3,11,43.87280435,33.99381559,,,aljazeera
Eastern Europe,1,LOC,2022,3,11,,,,,aljazeera
Middle East,1,LOC,2022,3,11,,,,,aljazeera
Ukraine,98,GPE,2022,3,12,49.4871968,31.2718321,Ukraine,,aljazeera
Russia,53,GPE,2022,3,12,64.6863136,97.7453061,Russia,,aljazeera
Mariupol,17,GPE,2022,3,12,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
Moscow,11,GPE,2022,3,12,55.7504461,37.6174943,Russia,Moscow,aljazeera
United States,10,GPE,2022,3,12,39.7837304,-100.445882,United States,,aljazeera
China,7,GPE,2022,3,12,35.000074,104.999927,China,,aljazeera
Italy,6,GPE,2022,3,12,42.6384261,12.674297,Italy,Terni,aljazeera
Beijing,4,GPE,2022,3,12,39.906217,116.3912757,China,Beijing,aljazeera
Chernobyl,4,GPE,2022,3,12,51.2705477,30.2195609,Ukraine,Chernobyl,aljazeera
United Kingdom,4,GPE,2022,3,12,54.7023545,-3.2765753,United Kingdom,,aljazeera
United States,3,GPE,2022,3,12,39.7837304,-100.445882,United States,,aljazeera
Poland,3,GPE,2022,3,12,52.215933,19.134422,Poland,,aljazeera
Turkey,3,GPE,2022,3,12,38.9597594,34.9249653,Turkey,,aljazeera
Greece,3,GPE,2022,3,12,38.9953683,21.9877132,Greece,,aljazeera
Rome,3,GPE,2022,3,12,41.8933203,12.4829321,Italy,Rome,aljazeera
Kherson,3,GPE,2022,3,12,46.5421715,33.4079326,Ukraine,,aljazeera
Qatar,3,GPE,2022,3,12,25.3336984,51.2295295,Qatar,,aljazeera
Sweden,3,GPE,2022,3,12,59.6749712,14.5208584,Sweden,,aljazeera
Kyiv,2,GPE,2022,3,12,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Luhansk,2,GPE,2022,3,12,49.2724587,38.9150477,Ukraine,,aljazeera
Kyiv,6,LOC,2022,3,12,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Europe,2,LOC,2022,3,12,,,,,aljazeera
Black Sea,1,LOC,2022,3,12,43.87280435,33.99381559,,,aljazeera
Ukraine,140,GPE,2022,3,13,49.4871968,31.2718321,Ukraine,,aljazeera
Russia,99,GPE,2022,3,13,64.6863136,97.7453061,Russia,,aljazeera
United States,17,GPE,2022,3,13,39.7837304,-100.445882,United States,,aljazeera
China,17,GPE,2022,3,13,35.000074,104.999927,China,,aljazeera
Moscow,12,GPE,2022,3,13,55.7504461,37.6174943,Russia,Moscow,aljazeera
Mariupol,8,GPE,2022,3,13,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
Syria,7,GPE,2022,3,13,34.6401861,39.0494106,Syria,,aljazeera
Donetsk,6,GPE,2022,3,13,48.0158753,37.8013407,Ukraine,Donetsk,aljazeera
Chernobyl,6,GPE,2022,3,13,51.2705477,30.2195609,Ukraine,Chernobyl,aljazeera
Turkey,5,GPE,2022,3,13,38.9597594,34.9249653,Turkey,,aljazeera
United Kingdom,5,GPE,2022,3,13,54.7023545,-3.2765753,United Kingdom,,aljazeera
Bulgaria,4,GPE,2022,3,13,42.6073975,25.4856617,Bulgaria,,aljazeera
United States,4,GPE,2022,3,13,39.7837304,-100.445882,United States,,aljazeera
Kyiv,4,GPE,2022,3,13,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
France,4,GPE,2022,3,13,46.603354,1.8883335,France,,aljazeera
Poland,4,GPE,2022,3,13,52.215933,19.134422,Poland,,aljazeera
Beijing,3,GPE,2022,3,13,39.906217,116.3912757,China,Beijing,aljazeera
Zaporizhzhia,3,GPE,2022,3,13,47.8507859,35.1182867,Ukraine,Zaporizhzhia,aljazeera
Israel,3,GPE,2022,3,13,31.5313113,34.8667654,Israel,Lachish Regional Council,aljazeera
Iran,3,GPE,2022,3,13,32.6475314,54.5643516,Iran,,aljazeera
Kyiv,16,LOC,2022,3,13,50.4500336,30.5241361,Ukraine,Kyiv,aljazeera
Europe,2,LOC,2022,3,13,,,,,aljazeera
Mariupol,1,LOC,2022,3,13,47.0957648,37.5499621,Ukraine,Mariupol,aljazeera
Black Sea,1,LOC,2022,3,13,43.87280435,33.99381559,,,aljazeera
Crimea,1,LOC,2022,3,13,45.28350435,34.20081878,Ukraine,,aljazeera
Ukraine,163,GPE,2022,3,14,49.4871968,31.2718321,Ukraine,,aljazeera
Russia,133,GPE,2022,3,14,64.6863136,97.7453061,Russia,,aljazeera
